app_id,name,created_at,download_count,installation_count,is_preinstalled_in_cloud,is_preinstalled_in_server_DC,partner,review_count,review_rating,summary,marketing_labels,product_hosting_options,url,is_free,min_annual_pricing_plan,min_monthly_pricing_plan,Source code,Utilities,Project management,Dependency management,Admin tools,Build management,Dashboard gadgets,Shared workflows,Blueprints,Testing & QA,Language packs,CRM,Repository hooks,Monitoring,Themes & styles,Macros,Workflow,Integrations,Mobile,Time tracking,IT & helpdesk,Reports,Documentation,Document management,Tasks,Code quality,Security,Email,Custom fields,Charts & diagramming,Code review,Continuous integration,Design tools,Messaging,Deployments,Repository connectors
1220389,Forum for Confluence,2019-03-29T12:42:00.772Z,282.0,102.0,False,False,Converton,5,4.0,Its a content rich forum for to manage different topics in your organization,[],"['CLOUD', 'SERVER', 'DATA_CENTER']",https://marketplace.atlassian.com/apps/1220389/forum-for-confluence?hosting=cloud&tab=pricing,False,25.0,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1217079,Page View Tracker,2017-05-03T11:14:39.470Z,13750.0,1825.0,False,False,Old Street Solutions,14,3.357142925262451,"Page View Tracker is a tool that shows user Page and Space view statistics. This includes which users have viewed the current page, how often they have viewed it, and the last time it was viewed.",['codegeist2017'],"['SERVER', 'DATA_CENTER']",https://marketplace.atlassian.com/apps/1217079/page-view-tracker?hosting=datacenter&tab=pricing,True,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1221313,Edit Permission Inheritance,2019-10-07T20:03:49.975Z,694.0,212.0,False,False,Purde Software,2,2.5,The Edit Permission Inheritance apps allows edit permission to inherit to all child pages if turned on on the parent page. Pages added or moved in will be handled automatically.,[],"['SERVER', 'DATA_CENTER', 'CLOUD']",https://marketplace.atlassian.com/apps/1221313/edit-permission-inheritance?hosting=cloud&tab=pricing,False,20.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1219258,Agile Dashboard for Project Management,2018-06-29T09:47:41.170Z,278.0,75.0,False,False,SolDevelo,26,3.807692289352417,Agile Dashboard for Project Management widgets can point out problematic tickets and notify about discovered issues. It can also display the team's most active tickets based on a number of criteria and count the reliability rating of the estimates.,"['jira-servicedesk', 'jira-software']","['CLOUD', 'SERVER']",https://marketplace.atlassian.com/apps/1219258/agile-dashboard-for-project-management?hosting=cloud&tab=pricing,False,25.0,2.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1211639,Comment History for Jira,2013-10-02T07:23:23.449Z,3334.0,135.0,False,False,Redmoon Software Ltd,3,4.0,Comment History keeps all of your history for comments in Jira.  Whether it is for auditing purposes or to protect from accidental or intentional changes and deletions this is the plugin for you.,"['codegeist2016', 'jira-servicedesk', 'codegeist2017', 'jira-software']","['SERVER', 'DATA_CENTER']",https://marketplace.atlassian.com/apps/1211639/comment-history-for-jira?hosting=datacenter&tab=pricing,False,100.0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1223330,Advanced Code Syntax Highlighter,2020-08-06T13:21:40.525Z,0.0,173.0,False,False,Toshihiro Sato,5,2.799999952316284,Beautiful code syntax highlighting for more than 220 programming languages and text formats for Confluence. Support multiple themes and line numbers. Preview when editing content.,[],['CLOUD'],https://marketplace.atlassian.com/apps/1223330/advanced-code-syntax-highlighter?hosting=cloud&tab=pricing,False,10.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1216007,Teamworkx Issue Publisher for Jira,2016-09-23T08:30:57.575Z,2911.0,119.0,False,False,catworkx GmbH,3,4.0,With Teamworkx Issue Publisher for Jira you can create and update Confluence pages and blog posts that include current data from your Jira issue(s). The Issue Publisher can also create PDFs and ordinary text files and send emails from templates.,"['jira-servicedesk', 'codegeist2017', 'jira-software']","['CLOUD', 'SERVER', 'DATA_CENTER']",https://marketplace.atlassian.com/apps/1216007/teamworkx-issue-publisher-for-jira?hosting=cloud&tab=pricing,False,50.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1218809,Quantify TimeSpent,2018-03-30T05:05:11.032Z,7.0,1326.0,False,False,Quantify Technologies Inc.,23,3.69565224647522,"Quantify captures user activity, ticket statuses and automatically detects who worked on what. This is the power of AI right in your Jira. It is optimized for full-time creative workers and provides robust reporting.","['mobile-friendly', 'jira-servicedesk', 'jira-software']",['CLOUD'],https://marketplace.atlassian.com/apps/1218809/quantify-timespent?hosting=cloud&tab=pricing,True,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218503,AutoPage - Automated Page Creation,2018-01-22T10:09:17.871Z,1582.0,93.0,False,False,//SEIBERT/MEDIA,8,4.0,"AutoPage creates, links & updates Confluence pages, page trees & the page content automatically through Jira.","['jira-servicedesk', 'jira-software']","['SERVER', 'DATA_CENTER']",https://marketplace.atlassian.com/apps/1218503/autopage-automated-page-creation?hosting=datacenter&tab=pricing,False,385.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1216992,Attachment Checker for Confluence,2017-04-17T11:28:03.186Z,1812.0,119.0,False,False,Akeles Consulting,4,4.0,The Attachment Checker for Confluence plugin allows admins to secure their Confluence instances by restricting uploads by file types and perform virus scanning on all uploads,[],"['SERVER', 'DATA_CENTER']",https://marketplace.atlassian.com/apps/1216992/attachment-checker-for-confluence?hosting=datacenter&tab=pricing,False,1000.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1216894,"Encryption, Security & 2FA for Jira",2017-03-29T18:24:41.843Z,944.0,79.0,False,False,Kickdrum Technology Group LLC,13,4.0,"Team Secrets encrypts, protects & secures your private fields & files with bank grade encryption & 2FA (2-factor authentication). Lock sensitive files and fields with secure passphrases and mobile phone verification. Ensure viewers are authenticated.","['jira-servicedesk', 'codegeist2017']","['CLOUD', 'SERVER', 'DATA_CENTER']",https://marketplace.atlassian.com/apps/1216894/encryption-security-2fa-for-jira?hosting=cloud&tab=pricing,False,100.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1216824,mO SAML SSO / Single Sign On Bamboo SSO,2017-03-16T11:51:36.184Z,1093.0,93.0,False,False,miniOrange,8,4.0,"Use Bamboo SAML Single Sign On (SSO) to enable SAML SSO into Bamboo using ADFS, Azure AD, Okta, G Suite, OneLogin, Ping, Keycloak, Duo, Centrify, Bitium, Salesforce, Auth0 etc",[],['SERVER'],https://marketplace.atlassian.com/apps/1216824/mo-saml-sso-single-sign-on-bamboo-sso?hosting=server&tab=pricing,False,15.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1215126,Language Manager,2016-04-14T09:50:50.126Z,2055.0,110.0,False,False,//SEIBERT/MEDIA,6,3.8333332538604736,Language Manager is ideal if you need the ability to provide content in various languages but want to maintain full flexibility in all of your spaces.,[],"['SERVER', 'DATA_CENTER']",https://marketplace.atlassian.com/apps/1215126/language-manager?hosting=datacenter&tab=pricing,False,1000.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221774,Field Hide for Jira,2019-12-28T18:25:13.518Z,861.0,83.0,False,False,ThreadQ,13,3.846153736114502,Field Hide helps to hide or make read-only custom field and time tracking information based on simple rules without writing any script and JIRA configuration.,"['jira-servicedesk', 'jira-software']","['SERVER', 'DATA_CENTER']",https://marketplace.atlassian.com/apps/1221774/field-hide-for-jira?hosting=datacenter&tab=pricing,False,380.0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1212639,Weekdone Jira Reporting and Dashboard,2014-09-23T15:14:34.838Z,7.0,178.0,False,False,Weekdone,14,2.2142856121063232,"Beautiful visual one-click Jira report with dashboard. Receive it via e-mail daily, weekly or monthly. See analytics that are instantly actionable towards your people. It's a visual, easy, yet comprehensive overview of your team's Jira productivity.",[],['CLOUD'],https://marketplace.atlassian.com/apps/1212639/weekdone-jira-reporting-and-dashboard?hosting=cloud&tab=pricing,False,200.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
